*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - Range straggling - method [0] - LISE	Energy (MeV/u)6	5 - Range straggling - method [1] - Atima	Energy (MeV/u)7	6 - Lateral range - method [0] - LISE	Energy (MeV/u)8	7 - Lateral range - method [1] - Atima	Energy (MeV/u)9	8 - Lateral range - method [2] - PDG	
105.000000	51696.3   	105.000000	50911.7   	105.000000	51064.4   	105.000000	51119.2   	105.000000	393.418   	105.000000	193.142   	105.000000	342.357   	105.000000	273.577   	105.000000	351.654   	
110.000000	55974.9   	110.000000	55170.3   	110.000000	55313.2   	110.000000	55374.3   	110.000000	425.331   	110.000000	208.068   	110.000000	369.946   	110.000000	294.993   	110.000000	380.405   	
115.000000	60388.9   	115.000000	59565.4   	115.000000	59698     	115.000000	59765.7   	115.000000	458.137   	115.000000	223.376   	115.000000	398.32    	115.000000	316.998   	115.000000	410.032   	
120.000000	64935.7   	120.000000	64094.1   	120.000000	64215.7   	120.000000	64290.7   	120.000000	491.799   	120.000000	239.063   	120.000000	427.453   	120.000000	339.572   	120.000000	440.511   	
125.000000	69613     	125.000000	68753.4   	125.000000	68863.9   	125.000000	68946.6   	125.000000	526.298   	125.000000	255.111   	125.000000	457.327   	125.000000	362.704   	125.000000	471.828   	
130.000000	74418.4   	130.000000	73540.9   	130.000000	73640.5   	130.000000	73730.8   	130.000000	561.613   	130.000000	271.522   	130.000000	487.921   	130.000000	386.381   	130.000000	503.962   	
135.000000	79349.6   	135.000000	78453.7   	135.000000	78542.5   	135.000000	78640.9   	135.000000	597.706   	135.000000	288.283   	135.000000	519.212   	135.000000	410.586   	135.000000	536.894   	
140.000000	84404.6   	140.000000	83489.4   	140.000000	83567.2   	140.000000	83674.5   	140.000000	634.548   	140.000000	305.372   	140.000000	551.176   	140.000000	435.303   	140.000000	570.6     	
145.000000	89581.4   	145.000000	88645.5   	145.000000	88712.9   	145.000000	88829.2   	145.000000	672.126   	145.000000	322.788   	145.000000	583.799   	145.000000	460.523   	145.000000	605.069   	
150.000000	94877.9   	150.000000	93919.7   	150.000000	93977.3   	150.000000	94102.8   	150.000000	710.417   	150.000000	340.524   	150.000000	617.061   	150.000000	486.233   	150.000000	640.285   	
155.000000	100369    	155.000000	99309.6   	155.000000	99358.3   	155.000000	99493.1   	155.000000	749.398   	155.000000	358.573   	155.000000	650.945   	155.000000	512.422   	155.000000	676.229   	
160.000000	105974    	160.000000	104813    	160.000000	104854    	160.000000	104998    	160.000000	789.046   	160.000000	376.926   	160.000000	685.434   	160.000000	539.078   	160.000000	712.888   	
165.000000	111688    	165.000000	110428    	165.000000	110461    	165.000000	110615    	165.000000	829.332   	165.000000	395.573   	165.000000	720.504   	165.000000	566.186   	165.000000	750.238   	
170.000000	117510    	170.000000	116152    	170.000000	116178    	170.000000	116343    	170.000000	870.231   	170.000000	414.507   	170.000000	756.141   	170.000000	593.734   	170.000000	788.268   	
175.000000	123437    	175.000000	121983    	175.000000	122004    	175.000000	122180    	175.000000	911.735   	175.000000	433.728   	175.000000	792.33    	175.000000	621.716   	175.000000	826.963   	
180.000000	129467    	180.000000	127920    	180.000000	127936    	180.000000	128123    	180.000000	953.826   	180.000000	453.219   	180.000000	829.056   	180.000000	650.12    	180.000000	866.311   	
185.000000	135599    	185.000000	133960    	185.000000	133972    	185.000000	134170    	185.000000	996.483   	185.000000	472.97    	185.000000	866.306   	185.000000	678.936   	185.000000	906.298   	
190.000000	141832    	190.000000	140101    	190.000000	140112    	190.000000	140321    	190.000000	1039.69   	190.000000	492.985   	190.000000	904.063   	190.000000	708.156   	190.000000	946.909   	
195.000000	148162    	195.000000	146342    	195.000000	146352    	195.000000	146573    	195.000000	1083.42   	195.000000	513.261   	195.000000	942.312   	195.000000	737.768   	195.000000	988.13    	
200.000000	154590    	200.000000	152681    	200.000000	152691    	200.000000	152924    	200.000000	1127.66   	200.000000	533.779   	200.000000	981.036   	200.000000	767.761   	200.000000	1029.95   	
210.000000	167728    	210.000000	165646    	210.000000	165660    	210.000000	165918    	210.000000	1217.59   	210.000000	575.507   	210.000000	1059.86   	210.000000	828.855   	210.000000	1115.31   	
220.000000	181234    	220.000000	178981    	220.000000	179006    	220.000000	179290    	220.000000	1309.38   	220.000000	618.168   	220.000000	1140.43   	220.000000	891.377   	220.000000	1202.91   	
230.000000	195097    	230.000000	192676    	230.000000	192717    	230.000000	193028    	230.000000	1402.9    	230.000000	661.74    	230.000000	1222.67   	230.000000	955.263   	230.000000	1292.66   	
240.000000	209305    	240.000000	206717    	240.000000	206780    	240.000000	207119    	240.000000	1498.04   	240.000000	706.145   	240.000000	1306.46   	240.000000	1020.45   	240.000000	1384.47   	
250.000000	223848    	250.000000	221093    	250.000000	221183    	250.000000	221552    	250.000000	1594.66   	250.000000	751.34    	250.000000	1391.72   	250.000000	1086.86   	250.000000	1478.23   	
260.000000	238715    	260.000000	235794    	260.000000	235917    	260.000000	236316    	260.000000	1692.7    	260.000000	797.311   	260.000000	1478.36   	260.000000	1154.45   	260.000000	1573.87   	
270.000000	253898    	270.000000	250809    	270.000000	250972    	270.000000	251402    	270.000000	1792.05   	270.000000	844.029   	270.000000	1566.31   	270.000000	1223.17   	270.000000	1671.33   	
280.000000	269386    	280.000000	266128    	280.000000	266336    	280.000000	266797    	280.000000	1892.64   	280.000000	891.43    	280.000000	1655.5    	280.000000	1292.98   	280.000000	1770.51   	
290.000000	285172    	290.000000	281741    	290.000000	282001    	290.000000	282495    	290.000000	1994.35   	290.000000	939.489   	290.000000	1745.84   	290.000000	1363.8    	290.000000	1871.35   	
300.000000	301246    	300.000000	297639    	300.000000	297955    	300.000000	298483    	300.000000	2097.09   	300.000000	988.194   	300.000000	1837.26   	300.000000	1435.59   	300.000000	1973.77   	
310.000000	317602    	310.000000	313814    	310.000000	314192    	310.000000	314755    	310.000000	2200.82   	310.000000	1037.5    	310.000000	1929.71   	310.000000	1508.32   	310.000000	2077.71   	
320.000000	334230    	320.000000	330258    	320.000000	330703    	320.000000	331301    	320.000000	2305.46   	320.000000	1087.41   	320.000000	2023.12   	320.000000	1581.94   	320.000000	2183.11   	
330.000000	351123    	330.000000	346962    	330.000000	347479    	330.000000	348114    	330.000000	2410.94   	330.000000	1137.91   	330.000000	2117.44   	330.000000	1656.42   	330.000000	2289.91   	
